locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFNKBEDD_00069	CDS	345	ybaB		COG0718	Nucleoid-associated protein YbaB
EFNKBEDD_00070	CDS	987	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
EFNKBEDD_00071	CDS	1458	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
EFNKBEDD_00072	CDS	969	gap2	1.2.1.59		Glyceraldehyde-3-phosphate dehydrogenase 2
EFNKBEDD_00073	CDS	288				hypothetical protein
EFNKBEDD_00074	CDS	1473	cobQ			Cobyric acid synthase
EFNKBEDD_00075	CDS	414				hypothetical protein
EFNKBEDD_00076	CDS	444	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
EFNKBEDD_00077	CDS	1011	obg	3.6.5.-		GTPase Obg
EFNKBEDD_00078	CDS	390	hin		COG1961	DNA-invertase hin
EFNKBEDD_00079	CDS	1656				hypothetical protein
EFNKBEDD_00080	CDS	972				IS481 family transposase ISAzs36
EFNKBEDD_00081	CDS	303				hypothetical protein
EFNKBEDD_00082	CDS	1077				hypothetical protein
EFNKBEDD_00083	CDS	1032	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
EFNKBEDD_00084	CDS	558				hypothetical protein
EFNKBEDD_00085	CDS	828	psbO			Photosystem II manganese-stabilizing polypeptide
EFNKBEDD_00086	CDS	1332				hypothetical protein
EFNKBEDD_00087	CDS	1152	recF_1			DNA replication and repair protein RecF
EFNKBEDD_00088	CDS	657				hypothetical protein
EFNKBEDD_00089	CDS	324				hypothetical protein
EFNKBEDD_00090	CDS	1179				hypothetical protein
EFNKBEDD_00091	CDS	1350				hypothetical protein
EFNKBEDD_00092	CDS	804		4.1.2.-		phosphoketolase
EFNKBEDD_00093	CDS	330				hypothetical protein
EFNKBEDD_00094	CDS	105				hypothetical protein
EFNKBEDD_00095	CDS	237				hypothetical protein
EFNKBEDD_00096	CDS	1443				hypothetical protein
EFNKBEDD_00097	CDS	1080				hypothetical protein
EFNKBEDD_00098	CDS	1509				hypothetical protein
EFNKBEDD_00099	CDS	546				hypothetical protein
EFNKBEDD_00100	CDS	717	folE	3.5.4.16		GTP cyclohydrolase 1
EFNKBEDD_00101	CDS	987	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EFNKBEDD_00102	CDS	1041		1.2.1.80	COG5322	Long-chain acyl-[acyl-carrier-protein] reductase
EFNKBEDD_00103	CDS	696		4.1.99.5		Aldehyde decarbonylase
EFNKBEDD_00104	CDS	399				hypothetical protein
EFNKBEDD_00105	CDS	570				hypothetical protein
EFNKBEDD_00106	CDS	4806	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00107	CDS	1089	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00108	CDS	6216	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00109	CDS	720				hypothetical protein
EFNKBEDD_00110	CDS	795				hypothetical protein
EFNKBEDD_00111	CDS	1113				hypothetical protein
EFNKBEDD_00112	CDS	1287				hypothetical protein
EFNKBEDD_00113	CDS	1044				hypothetical protein
EFNKBEDD_00114	CDS	675				hypothetical protein
EFNKBEDD_00115	CDS	1095		3.6.1.-	COG1106	ATP/GTP phosphatase
EFNKBEDD_00116	CDS	645				hypothetical protein
EFNKBEDD_00117	CDS	369				hypothetical protein
EFNKBEDD_00118	CDS	570				hypothetical protein
EFNKBEDD_00119	CDS	1212				hypothetical protein
EFNKBEDD_00120	CDS	528				hypothetical protein
EFNKBEDD_00121	CDS	2538				hypothetical protein
EFNKBEDD_00122	CDS	171				hypothetical protein
EFNKBEDD_00123	CDS	1137	cotSA	2.4.-.-	COG0438	Spore coat protein SA
EFNKBEDD_00124	CDS	1329				hypothetical protein
EFNKBEDD_00125	CDS	8550				hypothetical protein
EFNKBEDD_00126	CDS	1398	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
EFNKBEDD_00127	CDS	207				hypothetical protein
EFNKBEDD_00128	CDS	303				hypothetical protein
EFNKBEDD_00129	CDS	603				hypothetical protein
EFNKBEDD_00130	CDS	237				hypothetical protein
EFNKBEDD_00131	CDS	513				hypothetical protein
EFNKBEDD_00132	CDS	705				hypothetical protein
EFNKBEDD_00133	CDS	1149				hypothetical protein
EFNKBEDD_00134	CDS	285				hypothetical protein
EFNKBEDD_00135	CDS	111				hypothetical protein
EFNKBEDD_00136	CDS	735				hypothetical protein
EFNKBEDD_00137	CDS	294				IS630 family transposase ISMae21
EFNKBEDD_00138	CDS	273				hypothetical protein
EFNKBEDD_00139	CDS	318				hypothetical protein
EFNKBEDD_00140	CDS	393				hypothetical protein
EFNKBEDD_00141	CDS	963	nadA	2.5.1.72	COG0379	Quinolinate synthase A
EFNKBEDD_00142	CDS	1059	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
EFNKBEDD_00143	CDS	492				hypothetical protein
EFNKBEDD_00144	CDS	270	rpsO			30S ribosomal protein S15
EFNKBEDD_00145	CDS	909				hypothetical protein
EFNKBEDD_00146	CDS	624	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EFNKBEDD_00147	CDS	810				hypothetical protein
EFNKBEDD_00148	CDS	492				hypothetical protein
EFNKBEDD_00149	CDS	909		1.17.4.-	COG4243	Vitamin K epoxide reductase 
EFNKBEDD_00150	CDS	204				hypothetical protein
EFNKBEDD_00151	CDS	2037				hypothetical protein
EFNKBEDD_00152	CDS	207				hypothetical protein
EFNKBEDD_00153	CDS	420	psbU			Photosystem II 12 kDa extrinsic protein
EFNKBEDD_00154	CDS	1005				hypothetical protein
EFNKBEDD_00155	CDS	489				hypothetical protein
EFNKBEDD_00156	CDS	288	mdtA_1			Multidrug resistance protein MdtA
EFNKBEDD_00157	CDS	1164				hypothetical protein
EFNKBEDD_00158	CDS	762	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
EFNKBEDD_00159	CDS	450	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
EFNKBEDD_00160	CDS	951	menC	4.2.1.113		o-succinylbenzoate synthase
EFNKBEDD_00161	CDS	231				hypothetical protein
EFNKBEDD_00162	CDS	912	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
EFNKBEDD_00163	CDS	1227	hhoB_1			Putative serine protease HhoB
EFNKBEDD_00164	CDS	603	prxU	1.11.1.15		Selenocysteine-containing peroxiredoxin PrxU
EFNKBEDD_00165	CDS	573	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
EFNKBEDD_00166	CDS	558				hypothetical protein
EFNKBEDD_00167	CDS	1797	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
EFNKBEDD_00168	CDS	120				hypothetical protein
EFNKBEDD_00169	CDS	339				hypothetical protein
EFNKBEDD_00170	CDS	2604				hypothetical protein
EFNKBEDD_00171	CDS	303				hypothetical protein
EFNKBEDD_00172	CDS	672	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EFNKBEDD_00173	CDS	786	purF_2	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EFNKBEDD_00174	CDS	2316	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
EFNKBEDD_00175	CDS	987				hypothetical protein
EFNKBEDD_00176	CDS	123				hypothetical protein
EFNKBEDD_00177	CDS	330				hypothetical protein
EFNKBEDD_00178	CDS	912	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
EFNKBEDD_00179	CDS	819				IS200/IS605 family transposase ISTel2
EFNKBEDD_00180	CDS	915				hypothetical protein
EFNKBEDD_00181	CDS	885	dmlR_1			HTH-type transcriptional regulator DmlR
EFNKBEDD_00182	CDS	1011				Zinc-type alcohol dehydrogenase-like protein
EFNKBEDD_00183	CDS	993	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
EFNKBEDD_00184	CDS	816				hypothetical protein
EFNKBEDD_00185	CDS	267	rpmA		COG0211	50S ribosomal protein L27
EFNKBEDD_00186	CDS	396				hypothetical protein
EFNKBEDD_00187	CDS	222				hypothetical protein
EFNKBEDD_00188	CDS	372				hypothetical protein
EFNKBEDD_00189	CDS	2619	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
EFNKBEDD_00190	CDS	207				hypothetical protein
EFNKBEDD_00191	CDS	378				hypothetical protein
EFNKBEDD_00192	CDS	810				hypothetical protein
EFNKBEDD_00193	CDS	666				hypothetical protein
EFNKBEDD_00194	CDS	210				hypothetical protein
EFNKBEDD_00195	CDS	195				hypothetical protein
EFNKBEDD_00196	CDS	615				hypothetical protein
EFNKBEDD_00197	CDS	1551	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
EFNKBEDD_00198	CDS	633				hypothetical protein
EFNKBEDD_00199	CDS	1116				hypothetical protein
EFNKBEDD_00200	CDS	1713				hypothetical protein
EFNKBEDD_00201	CDS	357				hypothetical protein
EFNKBEDD_00202	CDS	366				hypothetical protein
EFNKBEDD_00203	CDS	903	egtB_1	1.14.99.50		Hercynine oxygenase
EFNKBEDD_00204	CDS	456				hypothetical protein
EFNKBEDD_00205	CDS	1464				hypothetical protein
EFNKBEDD_00206	CDS	666				hypothetical protein
EFNKBEDD_00207	CDS	1902	ftsH2_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
EFNKBEDD_00208	CDS	213				hypothetical protein
EFNKBEDD_00209	CDS	252				hypothetical protein
EFNKBEDD_00210	CDS	2457	ppsA_1	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
EFNKBEDD_00211	CDS	1290	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
EFNKBEDD_00212	CDS	294				hypothetical protein
EFNKBEDD_00213	CDS	291				hypothetical protein
EFNKBEDD_00214	CDS	906	ycf3_1			Photosystem I assembly protein Ycf3
EFNKBEDD_00215	CDS	1173	speB	3.5.3.11		Agmatinase
EFNKBEDD_00216	CDS	366	hypA_1			Hydrogenase maturation factor HypA
EFNKBEDD_00217	CDS	702	hypB_1		COG0378	Hydrogenase maturation factor HypB
EFNKBEDD_00218	CDS	1506	putP			Sodium/proline symporter
EFNKBEDD_00219	CDS	1674	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
EFNKBEDD_00220	CDS	465	spkB_1	2.7.11.1		Serine/threonine-protein kinase B
EFNKBEDD_00221	CDS	705				hypothetical protein
EFNKBEDD_00222	CDS	708	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
EFNKBEDD_00223	CDS	285				hypothetical protein
EFNKBEDD_00224	CDS	903	hhoB_2			Putative serine protease HhoB
EFNKBEDD_00225	CDS	237				hypothetical protein
EFNKBEDD_00226	CDS	1599	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EFNKBEDD_00227	CDS	240				hypothetical protein
EFNKBEDD_00228	CDS	906				hypothetical protein
EFNKBEDD_00229	CDS	402				hypothetical protein
EFNKBEDD_00230	CDS	2751	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00231	CDS	1383	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00232	CDS	324				hypothetical protein
EFNKBEDD_00233	CDS	1929	pbpG		COG0744	Penicillin-binding protein 2D
EFNKBEDD_00234	CDS	1227	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EFNKBEDD_00235	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EFNKBEDD_00236	CDS	603				hypothetical protein
EFNKBEDD_00237	CDS	156				hypothetical protein
EFNKBEDD_00238	CDS	417				hypothetical protein
EFNKBEDD_00239	CDS	399				hypothetical protein
EFNKBEDD_00240	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_00241	CDS	1107				hypothetical protein
EFNKBEDD_00242	CDS	1098			COG3385	IS4 family transposase ISSysp2
EFNKBEDD_00243	CDS	3972				hypothetical protein
EFNKBEDD_00244	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EFNKBEDD_00245	CDS	591	sepF		COG1799	Cell division protein SepF
EFNKBEDD_00246	CDS	681			COG0325	Pyridoxal phosphate homeostasis protein
EFNKBEDD_00247	CDS	270				hypothetical protein
EFNKBEDD_00248	CDS	891	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
EFNKBEDD_00249	CDS	135				hypothetical protein
EFNKBEDD_00250	CDS	561				hypothetical protein
EFNKBEDD_00251	CDS	1362	der_1		COG1160	GTPase Der
EFNKBEDD_00252	CDS	330				hypothetical protein
EFNKBEDD_00253	CDS	1218	nupX_1		COG1972	Putative nucleoside permease NupX
EFNKBEDD_00254	CDS	1038				hypothetical protein
EFNKBEDD_00255	CDS	396				hypothetical protein
EFNKBEDD_00256	CDS	408				hypothetical protein
EFNKBEDD_00257	CDS	3681				hypothetical protein
EFNKBEDD_00258	CDS	1110				hypothetical protein
EFNKBEDD_00259	CDS	1575	hpnP	2.1.1.-		Hopanoid C-2 methylase
EFNKBEDD_00260	CDS	288				hypothetical protein
EFNKBEDD_00261	CDS	1413	era_1			GTPase Era
EFNKBEDD_00262	CDS	126				hypothetical protein
EFNKBEDD_00263	CDS	150				hypothetical protein
EFNKBEDD_00264	CDS	1017	ccsA_1			Cytochrome c biogenesis protein CcsA
EFNKBEDD_00265	CDS	987	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EFNKBEDD_00266	CDS	258				hypothetical protein
EFNKBEDD_00267	CDS	201				hypothetical protein
EFNKBEDD_00268	CDS	300				hypothetical protein
EFNKBEDD_00269	CDS	624				hypothetical protein
EFNKBEDD_00270	CDS	2961	kdpB	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
EFNKBEDD_00271	CDS	579				hypothetical protein
EFNKBEDD_00272	CDS	300				putative 30S ribosomal protein PSRP-3
EFNKBEDD_00273	CDS	420	atpC			ATP synthase epsilon chain
EFNKBEDD_00274	CDS	1455	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EFNKBEDD_00275	CDS	312	groS			10 kDa chaperonin
EFNKBEDD_00276	CDS	1632	groL1			60 kDa chaperonin 1
EFNKBEDD_00277	CDS	1113				hypothetical protein
EFNKBEDD_00278	CDS	483				hypothetical protein
EFNKBEDD_00279	CDS	792	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
EFNKBEDD_00280	CDS	315				hypothetical protein
EFNKBEDD_00281	CDS	1008	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
EFNKBEDD_00282	CDS	891	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
EFNKBEDD_00283	CDS	1173	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
EFNKBEDD_00284	CDS	477				hypothetical protein
EFNKBEDD_00285	CDS	216				hypothetical protein
EFNKBEDD_00286	CDS	426	nrdB_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
EFNKBEDD_00287	CDS	627				hypothetical protein
EFNKBEDD_00288	CDS	1194				hypothetical protein
EFNKBEDD_00289	CDS	225	nrdB_2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
EFNKBEDD_00290	CDS	1842				hypothetical protein
EFNKBEDD_00291	CDS	429				hypothetical protein
EFNKBEDD_00292	CDS	2265	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
EFNKBEDD_00293	CDS	1308				hypothetical protein
EFNKBEDD_00294	CDS	834				hypothetical protein
EFNKBEDD_00295	CDS	768			COG2968	26 kDa periplasmic immunogenic protein
EFNKBEDD_00296	CDS	354	ssbB		COG0629	Single-stranded DNA-binding protein B
EFNKBEDD_00297	CDS	1038	mreB		COG1077	Cell shape-determining protein MreB
EFNKBEDD_00298	CDS	789				hypothetical protein
EFNKBEDD_00299	CDS	618				hypothetical protein
EFNKBEDD_00300	CDS	726				hypothetical protein
EFNKBEDD_00301	CDS	177				hypothetical protein
EFNKBEDD_00302	CDS	1119				hypothetical protein
EFNKBEDD_00303	CDS	822	larE	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
EFNKBEDD_00304	CDS	813	sadH	1.-.-.-		Putative oxidoreductase SadH
EFNKBEDD_00305	CDS	1512	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
EFNKBEDD_00306	CDS	978				hypothetical protein
EFNKBEDD_00307	CDS	672	aqpZ		COG0580	Aquaporin Z
EFNKBEDD_00308	CDS	147				hypothetical protein
EFNKBEDD_00309	CDS	1938	htpX_2	3.4.24.-		Protease HtpX
EFNKBEDD_00310	CDS	600	lemA		COG1704	Protein LemA
EFNKBEDD_00311	CDS	519				hypothetical protein
EFNKBEDD_00312	CDS	1344	cnrA_1			Nickel and cobalt resistance protein CnrA
EFNKBEDD_00313	CDS	1734	mdtB_1		COG0841	Multidrug resistance protein MdtB
EFNKBEDD_00314	CDS	1377	mdtA_2			Multidrug resistance protein MdtA
EFNKBEDD_00315	CDS	531				hypothetical protein
EFNKBEDD_00316	CDS	954	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EFNKBEDD_00317	CDS	1266	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
EFNKBEDD_00318	CDS	1062	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
EFNKBEDD_00319	CDS	711				hypothetical protein
EFNKBEDD_00320	CDS	948				hypothetical protein
EFNKBEDD_00321	CDS	1836	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00322	CDS	462				hypothetical protein
EFNKBEDD_00323	CDS	720				hypothetical protein
EFNKBEDD_00324	CDS	1476	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
EFNKBEDD_00325	CDS	762				hypothetical protein
EFNKBEDD_00326	CDS	585		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
EFNKBEDD_00327	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
EFNKBEDD_00328	CDS	621				hypothetical protein
EFNKBEDD_00329	CDS	456	recX			Regulatory protein RecX
EFNKBEDD_00330	CDS	1551	ndhB_1	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
EFNKBEDD_00331	CDS	363				hypothetical protein
EFNKBEDD_00332	CDS	111	petG			Cytochrome b6-f complex subunit 5
EFNKBEDD_00333	CDS	1164				hypothetical protein
EFNKBEDD_00334	CDS	264				hypothetical protein
EFNKBEDD_00335	CDS	612	hisB_1	4.2.1.19		Imidazoleglycerol-phosphate dehydratase
EFNKBEDD_00336	CDS	342	mazF9	3.1.-.-	COG2337	Endoribonuclease MazF9
EFNKBEDD_00337	CDS	234				hypothetical protein
EFNKBEDD_00338	CDS	156	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EFNKBEDD_00339	CDS	591	fabI_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EFNKBEDD_00340	CDS	672	ntcA			Global nitrogen regulator
EFNKBEDD_00341	CDS	954	smc_1			Chromosome partition protein Smc
EFNKBEDD_00342	CDS	570				hypothetical protein
EFNKBEDD_00343	CDS	627				hypothetical protein
EFNKBEDD_00344	CDS	579				hypothetical protein
EFNKBEDD_00345	CDS	231				hypothetical protein
EFNKBEDD_00346	CDS	942				hypothetical protein
EFNKBEDD_00347	CDS	1029				hypothetical protein
	CRISPR	2599				
EFNKBEDD_00348	CDS	219				hypothetical protein
EFNKBEDD_00349	CDS	933				hypothetical protein
EFNKBEDD_00350	CDS	675				hypothetical protein
EFNKBEDD_00351	CDS	579	yceD_1		COG2310	General stress protein 16U
EFNKBEDD_00352	CDS	597	yceC		COG2310	Stress response protein SCP2
EFNKBEDD_00353	CDS	96				hypothetical protein
EFNKBEDD_00354	CDS	927	tolB_1		COG0823	Tol-Pal system protein TolB
EFNKBEDD_00355	CDS	1668				hypothetical protein
EFNKBEDD_00356	CDS	1131				hypothetical protein
EFNKBEDD_00357	CDS	3291	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00358	CDS	213				hypothetical protein
EFNKBEDD_00359	CDS	141				hypothetical protein
EFNKBEDD_00360	CDS	771				hypothetical protein
EFNKBEDD_00361	CDS	492				hypothetical protein
EFNKBEDD_00362	CDS	372				hypothetical protein
EFNKBEDD_00363	CDS	1752	ubiB_2	2.7.-.-		protein kinase UbiB
EFNKBEDD_00364	CDS	1128	desV_1	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
EFNKBEDD_00365	CDS	1833				hypothetical protein
EFNKBEDD_00366	CDS	321				hypothetical protein
EFNKBEDD_00367	tRNA	72				tRNA-Gly(gcc)
EFNKBEDD_00368	CDS	420				hypothetical protein
EFNKBEDD_00369	CDS	1245	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
	CRISPR	1343				
EFNKBEDD_00370	CDS	399				hypothetical protein
	CRISPR	757				
EFNKBEDD_00371	CDS	504	mshD_1	2.3.1.189		Mycothiol acetyltransferase
EFNKBEDD_00372	CDS	684				hypothetical protein
EFNKBEDD_00373	CDS	942		1.-.-.-	COG0667	putative oxidoreductase
EFNKBEDD_00374	CDS	1341	guaD	3.5.4.3	COG0402	Guanine deaminase
EFNKBEDD_00375	CDS	708				hypothetical protein
EFNKBEDD_00376	CDS	1122			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
EFNKBEDD_00377	CDS	909	glcK_1	2.7.1.2	COG1940	Glucokinase
EFNKBEDD_00378	CDS	1284	sctC			Type 3 secretion system secretin
EFNKBEDD_00379	CDS	1107				hypothetical protein
EFNKBEDD_00380	CDS	876				hypothetical protein
EFNKBEDD_00381	CDS	1014	ousX_1		COG2113	Glycine betaine-binding periplasmic protein OusX
EFNKBEDD_00382	CDS	957				hypothetical protein
EFNKBEDD_00383	CDS	1083	ycf3_2			Photosystem I assembly protein Ycf3
EFNKBEDD_00384	CDS	1608				hypothetical protein
EFNKBEDD_00385	CDS	249				hypothetical protein
EFNKBEDD_00386	CDS	1974	ziaA	7.2.2.12		Zinc-transporting ATPase
EFNKBEDD_00387	CDS	2232	comEC		COG0658	ComE operon protein 3
EFNKBEDD_00388	CDS	429				hypothetical protein
EFNKBEDD_00389	CDS	348				hypothetical protein
EFNKBEDD_00390	CDS	1794	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
EFNKBEDD_00391	CDS	1473	ffh		COG0541	Signal recognition particle protein
EFNKBEDD_00392	CDS	264	rpsP		COG0228	30S ribosomal protein S16
EFNKBEDD_00393	CDS	447				hypothetical protein
EFNKBEDD_00394	CDS	483			COG1702	PhoH-like protein
EFNKBEDD_00395	CDS	534			COG1702	PhoH-like protein
EFNKBEDD_00396	CDS	801				hypothetical protein
